word,class,level,meaning_vi
classic,adjective,b2,kinh điển
classic,noun,b2,tác giả kinh điển
classical,adjective,a2,cổ điển
classification,noun,c1,phân loại
classify,verb,b2,phân loại
classroom,noun,a1,lớp học
clause,noun,b1,mệnh đề
clean,adjective,a1,sạch
clean,verb,a1,lau chùi
cleaning,noun,,làm sạch
clear,adjective,a2,trong
clear,verb,b1,làm trong sạch
clearly,adverb,a2,rõ ràng
clerk,noun,b2,thư ký
clever,adjective,a2,thông minh
click,noun,b1,tiếng lách cách
click,verb,b1,làm thành tiếng lách
client,noun,b1,khách hàng
cliff,noun,b2,vách đá
climate,noun,a2,khí hậu
climb,noun,b1,sự leo trèo
climb,verb,a1,leo
cling,verb,c1,bám vào
clinic,noun,b2,phòng khám
clinical,adjective,c1,lâm sàng
clip,noun,b2,cái kẹp
clock,noun,a1,đồng hồ
close,adjective,a2,đóng kín
close,adverb,b1,ẩn
close,noun,b2,sự kết thúc
close,verb,a1,đóng
closed,adjective,a2,đóng
closely,adverb,b2,chặt chẽ
closure,noun,c1,sự đóng cửa
cloth,noun,b1,vải
clothes,noun,a1,quần áo
clothing,noun,a2,quần áo
cloud,noun,a2,đám mây
club,noun,a1,câu lạc bộ
clue,noun,b1,manh mối
cluster,noun,c1,cụm
coach,noun,a2,xe ngựa bốn bánh
coach,verb,b1,chở bằng xe ngựa
coal,noun,b1,than
coalition,noun,c1,liên minh
coast,noun,a2,bờ biển
coastal,adjective,c1,ven biển
coat,noun,a1,áo khoác
cocktail,noun,c1,cocktail
code,noun,a2,mã
coffee,noun,a1,cà phê
cognitive,adjective,c1,nhận thức
coin,noun,b1,đồng xu
coincide,verb,c1,trùng khớp
coincidence,noun,b2,sự trùng hợp
cold,adjective,a1,lạnh
cold,noun,a1,sự lạnh nhạt
collaborate,verb,c1,cộng tác
collaboration,noun,c1,sự hợp tác
collapse,noun,b2,sụp đổ
collapse,verb,b2,đổ
colleague,noun,a2,đồng nghiệp
collect,verb,a2,thu thập
collection,noun,b1,bộ sưu tập
collective,adjective,c1,tập thể
collector,noun,b2,người sưu tầm
college,noun,a1,đại học
collision,noun,c1,va chạm
colonial,adjective,c1,thuộc địa
colony,noun,b2,thuộc địa
colour,noun,a1,màu sắc
coloured,adjective,b1,màu
colourful,adjective,b2,đầy màu sắc
column,noun,a2,cột
columnist,noun,c1,người viết chuyên mục
combat,noun,c1,trận
combat,verb,c1,đánh nhau
combination,noun,b2,sự kết hợp
combine,verb,b1,kết hợp
come,verb,a1,đến
comedy,noun,a2,hài kịch
comfort,noun,b2,sự an ủi
comfort,verb,b2,dỗ dành
comfortable,adjective,a2,thoải mái
comic,adjective,b2,hài hước
comic,noun,b2,diễn viên kịch vui
command,noun,b2,lệnh
command,verb,b2,ra lệnh
commander,noun,b2,người chỉ huy
commence,verb,c1,bắt đầu
comment,noun,a2,lời bình luận
comment,verb,b1,bình luận
commentary,noun,c1,bình luận
commentator,noun,c1,nhà bình luận
commerce,noun,c1,thương mại
commercial,adjective,b1,buôn bán
commercial,noun,b1,người chào hàng
commission,noun,b2,lệnh
commission,verb,b2,uỷ nhiệm
commissioner,noun,c1,ủy viên
commit,verb,b1,cam kết
commitment,noun,b2,cam kết
committee,noun,b2,ủy ban
commodity,noun,c1,hàng hóa
common,adjective,a1,chung
commonly,adverb,b2,thông thường
communicate,verb,a2,giao tiếp
communication,noun,b1,sự giao tiếp
communist,adjective,c1,cộng sản
community,noun,a2,cộng đồng
companion,noun,c1,bạn đồng hành
company,noun,a1,công ty
comparable,adjective,c1,có thể so sánh
comparative,adjective,b2,so sánh
compare,verb,a1,so sánh
comparison,noun,b1,so sánh
compassion,noun,c1,lòng trắc ẩn
compel,verb,c1,ép buộc
compelling,adjective,c1,hấp dẫn
compensate,verb,c1,đền bù
compensation,noun,c1,sự đền bù
compete,verb,a2,cạnh tranh
competence,noun,c1,năng lực
competent,adjective,c1,có thẩm quyền
competition,noun,a2,sự cạnh tranh
competitive,adjective,b1,cạnh tranh
competitor,noun,b1,đối thủ cạnh tranh
compile,verb,c1,biên soạn
complain,verb,a2,phàn nàn
complaint,noun,b1,khiếu nại
complement,verb,c1,bổ sung
complete,adjective,a1,đầy đủ
complete,verb,a1,hoàn thành
completely,adverb,a2,hoàn toàn
completion,noun,b2,sự hoàn thành
complex,adjective,b1,phức tạp
complex,noun,b2,mớ phức tạp
complexity,noun,c1,sự phức tạp
compliance,noun,c1,tuân thủ
complicated,adjective,b2,phức tạp
complication,noun,c1,sự phức tạp
comply,verb,c1,tuân theo
component,noun,b2,thành phần
compose,verb,b2,soạn
composer,noun,b2,nhà soạn nhạc
composition,noun,c1,thành phần
compound,noun,b2,hợp chất
comprehensive,adjective,b2,toàn diện
comprise,verb,b2,bao gồm
compromise,noun,c1,sự thoả hiệp
compromise,verb,c1,dàn xếp
compulsory,adjective,b2,bắt buộc
compute,verb,c1,tính toán
computer,noun,a1,máy tính
conceal,verb,c1,che giấu
concede,verb,c1,thừa nhận
conceive,verb,c1,thụ thai
concentrate,verb,b1,tập trung
concentration,noun,b2,sự tập trung
concept,noun,b2,khái niệm
conception,noun,c1,sự thụ thai
concern,noun,b2,sự liên quan đến
concern,verb,b2,liên quan
concerned,adjective,b2,liên quan
concert,noun,a1,buổi hòa nhạc
concession,noun,c1,sự nhượng bộ
conclude,verb,b1,kết luận
conclusion,noun,b1,kết luận
concrete,adjective,b2,cụ thể
concrete,noun,b2,vật cụ thể
condemn,verb,c1,lên án
condition,noun,a2,điều kiện
conduct,noun,b2,hạnh kiểm
conduct,verb,b2,hướng dẫn
confer,verb,c1,trao
conference,noun,a2,hội nghị
confess,verb,b2,thú nhận
confession,noun,c1,lời thú nhận
confidence,noun,b2,sự tự tin
confident,adjective,b1,tự tin
configuration,noun,c1,cấu hình
confine,verb,c1,hạn chế
confirm,verb,b1,xác nhận
confirmation,noun,c1,sự xác nhận
conflict,noun,b2,sự xung đột
conflict,verb,b2,xung đột
confront,verb,c1,đối đầu
confrontation,noun,c1,sự đối đầu
confuse,verb,b1,làm bối rối
confused,adjective,b1,bối rối
confusing,adjective,b2,khó hiểu
confusion,noun,b2,sự nhầm lẫn
congratulate,verb,c1,chúc mừng
congregation,noun,c1,hội chúng
congressional,adjective,c1,quốc hội
connect,verb,a2,kết nối
connected,adjective,a2,được kết nối
connection,noun,b1,kết nối
conquer,verb,c1,chinh phục
conscience,noun,c1,lương tâm
conscious,adjective,b2,có ý thức
consciousness,noun,c1,ý thức
consecutive,adjective,c1,liên tiếp
consensus,noun,c1,sự đồng thuận
consent,noun,c1,sự đồng ý
consent,verb,c1,đồng ý
consequence,noun,b1,hậu quả
consequently,adverb,b2,do đó
conservation,noun,b2,bảo tồn
conservative,adjective,b2,để giữ gìn
conservative,noun,b2,người bảo thủ
conserve,verb,c1,bảo tồn
consider,verb,a2,xem xét
considerable,adjective,b2,đáng kể
considerably,adverb,b2,đáng kể
consideration,noun,b2,sự cân nhắc
consist,verb,b1,bao gồm
consistency,noun,c1,tính nhất quán
consistent,adjective,b2,nhất quán
consistently,adverb,b2,nhất quán
consolidate,verb,c1,củng cố
conspiracy,noun,b2,âm mưu
constant,adjective,b2,hằng số
constantly,adverb,b2,liên tục
constituency,noun,c1,khu vực bầu cử
constitute,verb,c1,cấu thành
constitution,noun,c1,hiến pháp
constitutional,adjective,c1,hiến pháp
constraint,noun,c1,hạn chế
construct,verb,b2,xây dựng
construction,noun,b2,xây dựng
consult,verb,b2,tham khảo ý kiến
consultant,noun,b2,người cố vấn
consultation,noun,c1,sự tư vấn
consume,verb,b1,tiêu thụ
consumer,noun,b1,người tiêu dùng
consumption,noun,b2,tiêu thụ
contact,noun,b1,sự chạm
contact,verb,b1,cho tiếp với
contain,verb,a2,chứa
container,noun,b1,thùng chứa
contemplate,verb,c1,suy ngẫm
contemporary,adjective,b2,đương đại
contempt,noun,c1,khinh miệt
contend,verb,c1,tranh giành
contender,noun,c1,đối thủ
content,adjective,c1,bằng lòng
content,noun,b1,nội dung
contention,noun,c1,sự tranh chấp
contest,noun,b2,cuộc tranh luận
contest,verb,b2,tranh cãi
context,noun,a2,bối cảnh
continent,noun,a2,lục địa
continually,adverb,c1,liên tục
continue,verb,a2,tiếp tục
continuous,adjective,b1,liên tục
contract,noun,b2,hợp đồng
contract,verb,b2,đính ước
contractor,noun,c1,nhà thầu
contradiction,noun,c1,sự mâu thuẫn
contrary,adjective,c1,trái ngược
contrary,noun,c1,sự trái lại
contrast,noun,b1,sự tương phản
contrast,verb,b1,làm tương phản
contribute,verb,b2,đóng góp
contribution,noun,b2,đóng góp
contributor,noun,c1,người đóng góp
control,noun,a2,quyền hành
control,verb,a2,điều khiển
controversial,adjective,b2,gây tranh cãi
controversy,noun,b2,sự tranh cãi
convenience,noun,b2,sự tiện lợi
convenient,adjective,b1,thuận tiện
convention,noun,b2,quy ước
conventional,adjective,b2,thông thường
conversation,noun,a1,cuộc trò chuyện
conversion,noun,c1,chuyển đổi
convert,verb,b2,chuyển đổi
convey,verb,b2,truyền đạt
convict,verb,c1,kết án
conviction,noun,c1,niềm tin
convince,verb,b1,thuyết phục
convinced,adjective,b2,bị thuyết phục
convincing,adjective,b2,thuyết phục
cook,noun,a2,đầu bếp
cook,verb,a1,nấu
cooker,noun,a2,nồi cơm điện
cooking,noun,a1,nấu ăn
cool,adjective,a1,mát mẻ
cool,verb,b1,làm mát
cooperate,verb,c1,hợp tác
cooperative,adjective,c1,hợp tác
coordinate,verb,c1,phối hợp
coordination,noun,c1,sự phối hợp
coordinator,noun,c1,điều phối viên
cop,noun,c1,cảnh sát
cope,verb,b2,đối phó
copper,noun,c1,đồng
copy,noun,a2,bản sao
copy,verb,a2,sao lại
copyright,noun,c1,bản quyền
core,adjective,b2,cốt lõi
core,noun,b2,lõi
corner,noun,a2,góc
corporate,adjective,b2,công ty
corporation,noun,b2,tập đoàn
correct,adjective,a1,đúng
correct,verb,a1,sửa
correction,noun,c1,sự sửa chữa
correctly,adverb,a2,một cách chính xác
correlate,verb,c1,tương quan
correlation,noun,c1,sự tương quan
correspond,verb,c1,tương ứng
correspondence,noun,c1,thư từ
correspondent,noun,c1,phóng viên
corresponding,adjective,c1,tương ứng
corridor,noun,b2,hành lang
corrupt,adjective,c1,tham nhũng
corruption,noun,c1,tham nhũng
cost,noun,a1,giá
cost,verb,a1,trị giá
costly,adjective,c1,tốn kém
costume,noun,b1,trang phục
cottage,noun,b1,ngôi nhà
cotton,noun,b1,bông
could,modal verb,a1,có thể
council,noun,b2,hội đồng
councillor,noun,c1,ủy viên hội đồng
counselling,noun,c1,sự tư vấn
counsellor,noun,c1,cố vấn
count,noun,b1,bá tước earl
count,verb,a2,đếm
counter,noun,b2,quầy hàng
counter,verb,c1,phản đối
counterpart,noun,c1,đối tác
countless,adjective,c1,vô số
country,noun,a1,đất nước
countryside,noun,b1,nông thôn
county,noun,b2,quận
coup,noun,c1,cuộc đảo chính
couple,noun,a2,cặp đôi
courage,noun,b2,lòng dũng cảm
course,noun,a1,khóa học
court,noun,b1,tòa án
courtesy,noun,c1,lịch sự
cousin,noun,a1,anh họ
cover,noun,b1,vỏ
cover,verb,a2,che
coverage,noun,b2,sự bao phủ
covered,adjective,b1,được bao phủ
cow,noun,a1,con bò
crack,noun,b2,vết nứt
crack,verb,b2,quất đét đét
craft,noun,b2,nghề
craft,verb,c1,làm
crash,noun,b2,vải thô
crash,verb,b2,rơi vỡ loảng xoảng
crawl,verb,c1,bò
crazy,adjective,a2,điên rồ
cream,adjective,b1,kem
cream,noun,a1,kem
create,verb,a1,tạo ra
creation,noun,b2,sự sáng tạo
creative,adjective,a2,sáng tạo
creativity,noun,b2,sự sáng tạo
creator,noun,c1,người sáng tạo
creature,noun,b2,sinh vật
credibility,noun,c1,độ tin cậy
credible,adjective,c1,đáng tin cậy
credit,noun,a2,sự cho vay
credit,verb,b2,tin
creep,verb,c1,leo
crew,noun,b2,phi hành đoàn
crime,noun,a2,tội ác
criminal,adjective,b1,có tội
criminal,noun,a2,kẻ phạm tội
crisis,noun,b2,cuộc khủng hoảng
criterion,noun,b2,tiêu chí
critic,noun,b2,nhà phê bình
critical,adjective,b2,quan trọng
critically,adverb,b2,phê phán
criticism,noun,b2,sự chỉ trích
criticize,verb,b2,chỉ trích
critique,noun,c1,phê bình
crop,noun,b2,cắt
cross,noun,a2,cây thánh giá
cross,verb,a2,qua
crowd,noun,a2,đám đông
crowded,adjective,a2,đông đúc
crown,noun,c1,vương miện
crucial,adjective,b2,quan trọng
crude,adjective,c1,thô
cruel,adjective,b1,tàn nhẫn
cruise,noun,b2,cuộc đi chơi biển
cruise,verb,b2,đi chơi biển
crush,verb,c1,nghiền nát
cry,noun,b2,tiếng kêu
cry,verb,a2,kêu
crystal,noun,c1,tinh thể
cue,noun,b2,gợi ý
cult,adjective,c1,sùng bái
cult,noun,c1,sự thờ cúng
cultivate,verb,c1,trồng trọt
cultural,adjective,b1,văn hóa
culture,noun,a1,văn hóa
cup,noun,a1,cốc
cupboard,noun,a2,cái tủ
cure,noun,b2,cách chữa bệnh
cure,verb,b2,chữa bệnh
curiosity,noun,c1,sự tò mò
curious,adjective,b2,tò mò
curly,adjective,a2,xoăn
currency,noun,b1,tiền tệ
current,adjective,b1,hiện hành
current,noun,b2,dòng
currently,adverb,b1,hiện tại
curriculum,noun,b2,chương trình giảng dạy
curtain,noun,b1,bức màn
curve,noun,b2,đường cong
curve,verb,b2,cong
curved,adjective,b2,cong
custody,noun,c1,quyền giám hộ
custom,noun,b1,tùy chỉnh
customer,noun,a1,khách hàng
cut,noun,b1,sự cắt
cut,verb,a1,cắt
cute,adjective,b2,dễ thương
cutting,noun,c1,cắt
cycle,noun,a2,chu kỳ
cycle,verb,a2,quay vòng tròn theo
cynical,adjective,c1,hoài nghi
dad,noun,a1,bố
daily,adjective,a2,hằng ngày
daily,adverb,b1,hàng ngày
dairy,adjective,b2,sữa
dairy,noun,b2,nơi trữ và sản
dam,noun,c1,đập
damage,noun,b1,mối hại
damage,verb,b1,làm hư hại
damaging,adjective,c1,gây tổn hại
dance,noun,a1,sự nhảy múa
dance,verb,a1,nhảy múa
dancer,noun,a1,vũ công
dancing,noun,a1,khiêu vũ
danger,noun,a2,nguy hiểm
dangerous,adjective,a1,nguy hiểm
dare,verb,b2,dám
dark,adjective,a1,tối
dark,noun,a2,bóng tối
darkness,noun,b2,bóng tối
data,noun,a2,dữ liệu
database,noun,b2,cơ sở dữ liệu
date,noun,a1,quả chà là
date,verb,b2,đề ngày tháng
daughter,noun,a1,con gái
dawn,noun,c1,bình minh
day,noun,a1,ngày
dead,adjective,a2,chết
deadline,noun,b2,thời hạn
deadly,adjective,b2,chết người
deal,noun,b1,gỗ tùng
deal,verb,a2,phân phát
dealer,noun,b2,người buôn bán
dear,adjective,a1,thân
dear,exclamation,a2,thân yêu
death,noun,a2,cái chết
debate,noun,b2,cuộc tranh luận
debate,verb,b2,tranh luận
debris,noun,c1,mảnh vụn
debt,noun,b2,món nợ
debut,noun,c1,sự ra mắt
decade,noun,b1,thập kỷ
December,noun,a1,tháng mười hai
decent,adjective,b2,đàng hoàng
decide,verb,a1,quyết định
decision,noun,a2,quyết định
decision-making,noun,c1,ra quyết định
decisive,adjective,c1,quyết định
deck,noun,b2,boong
declaration,noun,c1,lời tuyên bố
declare,verb,b2,tuyên bố
decline,noun,b2,sự sụt
decline,verb,b2,nghiêng đi
decorate,verb,b1,trang trí
decoration,noun,b2,trang trí
decrease,noun,b2,sự giảm đi
decrease,verb,b2,giảm
dedicated,adjective,c1,dành riêng
dedication,noun,c1,sự cống hiến
deed,noun,c1,chứng thư
deem,verb,c1,cho là
deep,adjective,a2,sâu
deep,adverb,b1,sâu
deeply,adverb,b2,sâu sắc
default,noun,c1,mặc định
defeat,noun,b2,sự thất bại
defeat,verb,b2,đánh thắng
defect,noun,c1,khiếm khuyết
defence,noun,b2,phòng thủ
defend,verb,b2,bảo vệ
defender,noun,b2,hậu vệ
defensive,adjective,c1,phòng thủ
deficiency,noun,c1,sự thiếu hụt
deficit,noun,c1,thâm hụt
define,verb,b1,xác định
definite,adjective,b1,xác định
definitely,adverb,a2,chắc chắn
definition,noun,b1,định nghĩa
defy,verb,c1,thách thức
degree,noun,a2,mức độ
delay,noun,b2,sự chậm trễ
delay,verb,b2,làm chậm trễ
delegate,noun,c1,đại biểu
delegation,noun,c1,phái đoàn
delete,verb,b2,xóa
deliberate,adjective,b2,cố ý
deliberately,adverb,b2,cố ý
delicate,adjective,c1,tinh tế
delicious,adjective,a1,ngon
delight,noun,b2,sự vui thích
delight,verb,b2,làm vui thích
delighted,adjective,b2,vui mừng
deliver,verb,b1,giao
delivery,noun,b2,giao hàng
demand,noun,b2,sự đòi hỏi
demand,verb,b2,đòi hỏi
democracy,noun,b2,dân chủ
democratic,adjective,b2,dân chủ
demon,noun,c1,quỷ
demonstrate,verb,b2,chứng minh
demonstration,noun,b2,cuộc biểu tình
denial,noun,c1,sự phủ nhận
denounce,verb,c1,tố cáo
dense,adjective,c1,dày đặc
density,noun,c1,mật độ
dentist,noun,a2,nha sĩ
deny,verb,b2,phủ nhận
depart,verb,b2,khởi hành
department,noun,a2,khoa
departure,noun,b1,sự ra đi
depend,verb,a2,phụ thuộc
dependence,noun,c1,sự phụ thuộc
dependent,adjective,b2,phụ thuộc
depict,verb,c1,miêu tả
deploy,verb,c1,triển khai
deployment,noun,c1,triển khai
deposit,noun,b2,vật gửi
deposit,verb,c1,gửi
depressed,adjective,b2,chán nản
depressing,adjective,b2,chán nản
depression,noun,b2,trầm cảm
deprive,verb,c1,tước đoạt
depth,noun,b2,độ sâu
deputy,noun,c1,phó
derive,verb,b2,rút ra
descend,verb,c1,đi xuống
descent,noun,c1,sự đi xuống
describe,verb,a1,mô tả
description,noun,a1,mô tả
desert,noun,a2,công lao
desert,verb,b2,rời đi
deserve,verb,b2,xứng đáng
design,noun,a1,đề cương
design,verb,a1,phác hoạ
designate,verb,c1,chỉ định
designer,noun,a2,nhà thiết kế
desirable,adjective,c1,mong muốn
desire,noun,b2,sự thèm muốn
desire,verb,b2,thèm muốn
desk,noun,a1,bàn
desktop,noun,c1,máy tính để bàn
desperate,adjective,b2,tuyệt vọng
desperately,adverb,b2,tuyệt vọng
despite,preposition,b1,mặc dù
destination,noun,b1,điểm đến
destroy,verb,a2,phá hủy
destruction,noun,b2,sự hủy diệt
destructive,adjective,c1,phá hoại
detail,noun,a1,chi tiết
detail,verb,b2,kể chi tiết
detailed,adjective,b2,chi tiết
detain,verb,c1,giam giữ
detect,verb,b2,phát hiện
detection,noun,c1,sự phát hiện
detective,noun,a2,thám tử
detention,noun,c1,sự giam giữ
deteriorate,verb,c1,xấu đi
determination,noun,b2,sự quyết tâm
determine,verb,b1,xác định
determined,adjective,b1,xác định
devastate,verb,c1,tàn phá
develop,verb,a2,phát triển
development,noun,b1,sự phát triển
device,noun,a2,thiết bị
devil,noun,c1,ma quỷ
devise,verb,c1,nghĩ ra
devote,verb,b2,cống hiến
diagnose,verb,c1,chẩn đoán
diagnosis,noun,c1,chẩn đoán
diagram,noun,b1,sơ đồ
dialogue,noun,a1,cuộc đối thoại
diamond,noun,b1,kim cương
diary,noun,a2,nhật ký
dictate,verb,c1,ra lệnh
dictator,noun,c1,nhà độc tài
dictionary,noun,a1,từ điển
die,verb,a1,chết
diet,noun,a1,chế độ ăn uống
differ,verb,b2,khác nhau
difference,noun,a1,sự khác biệt
different,adjective,a1,khác nhau
differentiate,verb,c1,phân biệt
differently,adverb,a2,khác nhau
difficult,adjective,a1,khó khăn
difficulty,noun,b1,khó khăn
dig,verb,b2,đào
digital,adjective,a2,kỹ thuật số
dignity,noun,c1,phẩm giá
dilemma,noun,c1,vấn đề nan giải
dimension,noun,c1,chiều
diminish,verb,c1,giảm bớt
dinner,noun,a1,bữa tối
dip,verb,c1,nhúng
diplomat,noun,c1,nhà ngoại giao
diplomatic,adjective,c1,ngoại giao
direct,adjective,a2,thẳng
direct,adverb,b1,thẳng
direct,verb,b1,gửi
direction,noun,a2,phương hướng
directly,adverb,b1,trực tiếp
director,noun,a2,giám đốc
directory,noun,c1,thư mục
dirt,noun,b1,bụi bẩn
dirty,adjective,a1,bẩn
disability,noun,b2,khuyết tật
disabled,adjective,b2,bị vô hiệu hóa
disadvantage,noun,b1,điều bất lợi
disagree,verb,a2,không đồng ý
disagreement,noun,b2,sự bất đồng
disappear,verb,a2,biến mất
disappoint,verb,b2,thất vọng
disappointed,adjective,b1,thất vọng
disappointing,adjective,b1,đáng thất vọng
disappointment,noun,b2,sự thất vọng
disaster,noun,a2,thảm họa
disastrous,adjective,c1,thảm khốc
disc,noun,b2,đĩa
discard,verb,c1,vứt bỏ
discharge,verb,c1,xả
discipline,noun,b2,kỷ luật
disclose,verb,c1,tiết lộ
disclosure,noun,c1,tiết lộ
discount,noun,b1,sự bớt
discount,verb,b2,thanh toán trước thời
discourage,verb,b2,làm nản lòng
discourse,noun,c1,diễn ngôn
discover,verb,a2,khám phá
discovery,noun,a2,sự khám phá
discretion,noun,c1,sự tùy ý
discrimination,noun,c1,sự phân biệt đối
discuss,verb,a1,thảo luận
discussion,noun,a2,cuộc thảo luận
disease,noun,a2,căn bệnh
dish,noun,a1,món ăn
dishonest,adjective,b2,không trung thực
disk,noun,b2,đĩa
dislike,noun,b1,sự không ưa
dislike,verb,b1,không ưa
dismiss,verb,b2,gạt bỏ
dismissal,noun,c1,sa thải
disorder,noun,b2,rối loạn
displace,verb,c1,dời chỗ
display,noun,b2,một buổi trình diễn
display,verb,b2,hiển thị
disposal,noun,c1,xử lý
dispose,verb,c1,vứt bỏ
dispute,noun,c1,cuộc bàn cãi
dispute,verb,c1,bàn cãi
disrupt,verb,c1,làm gián đoạn
disruption,noun,c1,sự gián đoạn
dissolve,verb,c1,hòa tan
distance,noun,a2,khoảng cách
distant,adjective,b2,xa xôi
distinct,adjective,b2,rõ ràng
distinction,noun,c1,sự phân biệt
distinctive,adjective,c1,đặc biệt
distinguish,verb,b2,phân biệt
distort,verb,c1,bóp méo
distract,verb,b2,đánh lạc hướng
distress,noun,c1,nỗi đau buồn
distress,verb,c1,làm đau buồn
distribute,verb,b2,phân phối
distribution,noun,b2,phân phối
district,noun,b2,quận
disturb,verb,b2,làm phiền
disturbing,adjective,c1,làm phiền
dive,noun,b2,sự nhảy lao đầu
dive,verb,b2,nhảy lao đầu xuống
diverse,adjective,b2,đa dạng
diversity,noun,b2,sự đa dạng
divert,verb,c1,chuyển hướng
divide,noun,b2,đường chia nước
divide,verb,b1,chia
divine,adjective,c1,thần thánh
division,noun,b2,phép chia
divorce,noun,b2,sự ly dị
divorce,verb,b2,cho ly dị
divorced,adjective,a2,đã ly dị
do,verb,a1,làm
do,auxiliary verb,a1,làm
doctor,noun,a1,bác sĩ
doctrine,noun,c1,học thuyết
document,noun,a2,văn kiện
document,verb,b2,chứng minh bằng tư
documentary,noun,b1,phim tài liệu
documentation,noun,c1,tài liệu
dog,noun,a1,con chó
dollar,noun,a1,đô la
domain,noun,c1,miền
domestic,adjective,b2,trong nước
dominance,noun,c1,sự thống trị
dominant,adjective,b2,chiếm ưu thế
dominate,verb,b2,thống trị
donate,verb,b1,tặng
donation,noun,b2,sự quyên góp
donor,noun,c1,nhà tài trợ
door,noun,a1,cửa
dose,noun,c1,liều lượng
dot,noun,b2,dấu chấm
double,adjective,a2,đôi
double,adverb,b1,đôi
double,determiner,a2,gấp đôi
double,pronoun,a2,gấp đôi
double,verb,a2,làm gấp đôi
doubt,noun,b1,sự nghi ngờ
doubt,verb,b1,nghi ngờ
down,adverb,a1,xuống
down,preposition,a1,xuống
download,noun,a2,nạp xuống
download,verb,a2,tải xuống
downstairs,adjective,a2,ở dưới nhàn
downstairs,adverb,a1,xuống cầu thang
downtown,adjective,b2,khu buôn bán kinh
downtown,adverb,b2,khu buôn bán kinh
downtown,noun,b2,khu buôn bán kinh
downwards,adverb,b2,đi xuống
dozen,determiner,b2,tá
dozen,noun,b2,tá
draft,noun,b2,cặn
draft,verb,b2,phác thảo
drag,verb,b2,kéo
drain,verb,c1,thoát nước
drama,noun,a2,vở kịch
dramatic,adjective,b2,kịch tính
dramatically,adverb,b2,một cách kịch tính
draw,verb,a1,vẽ
drawing,noun,a2,bản vẽ
dream,noun,a2,giấc mơ
dream,verb,a2,mơ
dress,noun,a1,quần áo
dress,verb,a1,mặc
dressed,adjective,b1,mặc quần áo
drift,verb,c1,trôi dạt
drink,noun,a1,đồ uống
drink,verb,a1,uống
drive,noun,a2,cuộc đi xe
drive,verb,a1,dồn
driver,noun,a1,người lái xe
driving,adjective,c1,lái xe
driving,noun,a2,lái xe
drop,noun,b1,giọt
drop,verb,a2,chảy nhỏ giọt
drought,noun,b2,hạn hán
drown,verb,c1,chết đuối
drug,noun,a2,thuốc
drum,noun,b1,trống
drunk,adjective,b1,say rượu
dry,adjective,a2,khô
dry,verb,a2,làm khô
dual,adjective,c1,kép
dub,verb,c1,lồng tiếng
due,adjective,b1,đến hạn
dull,adjective,b2,buồn tẻ
dumb,adjective,c1,ngu ngốc
dump,verb,b2,đổ
duo,noun,c1,bộ đôi
duration,noun,b2,thời gian
during,preposition,a1,trong
dust,noun,b1,bụi
duty,noun,b1,nghĩa vụ
DVD,noun,a1,dvd
dynamic,adjective,b2,cơ động
dynamic,noun,c1,động lực
each,adverb,a1,mỗi
each,determiner,a1,mỗi
each,pronoun,a1,mỗi
eager,adjective,c1,háo hức
ear,noun,a1,tai
early,adjective,a1,sớm
early,adverb,a1,sớm
earn,verb,a2,kiếm được
earnings,noun,c1,thu nhập
earth,noun,a2,trái đất
earthquake,noun,b1,trận động đất
ease,noun,c1,sự thanh thản
ease,verb,c1,làm thanh thản
easily,adverb,a2,dễ dàng
east,adjective,a1,đông
east,adverb,a1,về hướng đông
east,noun,a1,hướng đông
eastern,adjective,b1,phía đông
easy,adjective,a1,dễ dàng
eat,verb,a1,ăn
echo,noun,c1,tiếng dội
echo,verb,c1,dội lại
ecological,adjective,c1,sinh thái
economic,adjective,b1,kinh tế
economics,noun,b2,kinh tế
economist,noun,b2,nhà kinh tế học
economy,noun,b1,nền kinh tế
edge,noun,b1,cạnh
edit,verb,b2,chỉnh sửa
edition,noun,b2,ấn bản
editor,noun,b1,biên tập viên
editorial,adjective,b2,biên tập
educate,verb,b1,giáo dục
educated,adjective,b1,có học thức
education,noun,a2,giáo dục
educational,adjective,b1,giáo dục
educator,noun,c1,nhà giáo dục
effect,noun,a2,hiệu ứng
effective,adjective,b1,hiệu quả
effectively,adverb,b1,một cách hiệu quả
effectiveness,noun,c1,hiệu quả
efficiency,noun,c1,hiệu quả
efficient,adjective,b2,hiệu quả
efficiently,adverb,b2,một cách hiệu quả
effort,noun,b1,nỗ lực
egg,noun,a1,quả trứng
ego,noun,c1,cái tôi
eight,number,a1,tám
eighteen,number,a1,mười tám
eighty,number,a1,tám mươi
either,adverb,a2,cũng phải thế
either,determiner,a2,hoặc
either,pronoun,a2,hoặc
elaborate,adjective,c1,phức tạp
elbow,noun,b2,khuỷu tay
elderly,adjective,b2,người già
elect,verb,b2,bầu cử
election,noun,b1,cuộc bầu cử
electoral,adjective,c1,bầu cử
electric,adjective,a2,điện
electrical,adjective,a2,điện
electricity,noun,a2,điện
electronic,adjective,a2,điện tử
electronics,noun,b2,điện tử
elegant,adjective,b2,thanh lịch
element,noun,b1,yếu tố
elementary,adjective,b2,sơ cấp
elephant,noun,a1,con voi
elevate,verb,c1,nâng cao
eleven,number,a1,mười một
eligible,adjective,c1,đủ điều kiện
eliminate,verb,b2,loại bỏ
elite,noun,c1,ưu tú
else,adverb,a1,khác
elsewhere,adverb,b2,nơi khác
